ID_ALL_RAW_DATA,ABUNDANCE,BIOMASS,ID_SPECIES,SAMPLE_DESC,LATITUDE,LONGITUDE,DEPTH,DAY,MONTH,YEAR,STUDY_ID,newID,valid_name,resolution,taxon
308797,1.0,,3665.0,-25.92_29.6_2006_1_30,-25.92,29.6,,30.0,1.0,2006,67,2468,Anous minutus,species,Birds
310866,1.0,,4457.0,-34.13_24.83_2000_7_14,-34.13,24.83,,14.0,7.0,2000,67,38244,Sterna vittata,species,Birds
310867,1.0,,4457.0,-32.88_18.32_2005_11_13,-32.88,18.32,,13.0,11.0,2005,67,38244,Sterna vittata,species,Birds
310868,1.0,,4457.0,-32.86_18.28_2005_11_13,-32.86,18.28,,13.0,11.0,2005,67,38244,Sterna vittata,species,Birds
310869,1.0,,4493.0,-27.68_25.67_1997_1_27,-27.68,25.67,,27.0,1.0,1997,67,39738,Thalassarche melanophris,species,Birds
311337,1.0,,3665.0,-26.12_28.27_2005_6_26,-26.12,28.27,,26.0,6.0,2005,67,2468,Anous minutus,species,Birds
311338,1.0,,3665.0,-24.04_31.32_2006_1_14,-24.04,31.32,,14.0,1.0,2006,67,2468,Anous minutus,species,Birds
311339,3.0,,3665.0,-29.37_31.35_2002_2_2,-29.37,31.35,,2.0,2.0,2002,67,2468,Anous minutus,species,Birds
318302,1.0,,3677.0,-25.92_29.6_2006_1_30,-25.92,29.6,,30.0,1.0,2006,67,3077,Aptenodytes forsteri,species,Birds
318303,1.0,,3677.0,-26.12_28.27_2005_6_26,-26.12,28.27,,26.0,6.0,2005,67,3077,Aptenodytes forsteri,species,Birds
318304,1.0,,3677.0,-24.04_31.32_2006_1_14,-24.04,31.32,,14.0,1.0,2006,67,3077,Aptenodytes forsteri,species,Birds
318305,3.0,,3677.0,-29.37_31.35_2002_2_2,-29.37,31.35,,2.0,2.0,2002,67,3077,Aptenodytes forsteri,species,Birds
318306,1.0,,2624.0,-34.38_21.42_2003_8_21,-34.38,21.42,,21.0,8.0,2003,67,5888,Bulweria bulwerii,species,Birds
318307,1.0,,3777.0,-28.82_32.03_1999_7_30,-28.82,32.03,,30.0,7.0,1999,67,38196,Stercorarius antarcticus,species,Birds
318308,1.0,,3777.0,-34.34_19.1_1996_2_3,-34.34,19.1,,3.0,2.0,1996,67,38196,Stercorarius antarcticus,species,Birds
318309,1.0,,3777.0,-33.54_27.02_1999_7_19,-33.54,27.02,,19.0,7.0,1999,67,38196,Stercorarius antarcticus,species,Birds
318310,1.0,,3810.0,-25.87_29.29_2005_7_9,-25.87,29.29,,9.0,7.0,2005,67,8623,Chlidonias hybrida,species,Birds
318311,1.0,,3810.0,-28.07_24.54_1998_7_9,-28.07,24.54,,9.0,7.0,1998,67,8623,Chlidonias hybrida,species,Birds
